uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF
"82cab5a3-8c73-4b09-b59e-4ca67a61f988","SCBI_046.basePlot.vst","2015-09-25","vst_SCBI_2015","D02","SCBI","SCBI_046",,"NEON.PLA.D02.SCBI.09933",,"sapling","Live",1.2,10,1.1,,,,,,,,,,,,"Error changed VD1 from 1.3 to 1.1","TvKK6huzmJvQSYcm7w44HKEZTya+DeuysFTWAgNPmiU=","eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","legacyData"
"a8955c6b-70e0-4dc9-85e0-80ddb06623bf","SCBI_049.basePlot.vst","2015-09-25","vst_SCBI_2015","D02","SCBI","SCBI_049",,"NEON.PLA.D02.SCBI.02562",,"single shrub","Live",8.9,130,4.5,,,,5.3,4.7,,"inverted cone",9.8,10,14.00,12.00,,"TvKK6huzmJvQSYcm7w44HKEZTya+DeuysFTWAgNPmiU=","otzZ09yzQEzFIIPcpdl9PUakADElVpVu","legacyData"
"50e1f5b3-4d05-498e-80b1-2521655d8cf2","SCBI_049.basePlot.vst","2015-09-25","vst_SCBI_2015","D02","SCBI","SCBI_049",,"NEON.PLA.D02.SCBI.02552",,"single bole tree","Live,  other damage",12.2,130,7.1,,,,,,"Full shade",,,,,,,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","legacyData"
"71e3c7e9-7166-4cb2-99c4-bc41f18deabe","SCBI_049.basePlot.vst","2015-09-25","vst_SCBI_2015","D02","SCBI","SCBI_049",,"NEON.PLA.D02.SCBI.02564",,"liana","Live",2.9,130,,,,,,,,,,,,,,"TvKK6huzmJvQSYcm7w44HKEZTya+DeuysFTWAgNPmiU=","otzZ09yzQEzFIIPcpdl9PUakADElVpVu","legacyData"
"bb7a2f34-ee02-4f84-b0d7-28622a2bfcb6","SCBI_046.basePlot.vst","2015-09-25","vst_SCBI_2015","D02","SCBI","SCBI_046",,"NEON.PLA.D02.SCBI.02593",,"single bole tree","Standing dead",52.8,130,17.1,,,,,,"Partially shaded",,,,,,,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","otzZ09yzQEzFIIPcpdl9PUakADElVpVu","legacyData"
"8f37953e-f6fa-4708-8270-014c5cac7c12","SCBI_046.basePlot.vst","2015-09-25","vst_SCBI_2015","D02","SCBI","SCBI_046",,"NEON.PLA.D02.SCBI.02623",,"small tree","Live",5.4,130,6.4,,,,,,,,,,,,,"TvKK6huzmJvQSYcm7w44HKEZTya+DeuysFTWAgNPmiU=","eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","legacyData"
"2b43acc5-4a5a-46d5-baa9-790b42feb23e","SCBI_046.basePlot.vst","2015-09-25","vst_SCBI_2015","D02","SCBI","SCBI_046",,"NEON.PLA.D02.SCBI.02625",,"small tree","Live",8.3,130,5.0,,,,,,,,,,,,,"TvKK6huzmJvQSYcm7w44HKEZTya+DeuysFTWAgNPmiU=","eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","legacyData"
"f96ab0d7-f8ba-49e6-b7aa-1def310c23d2","SCBI_066.basePlot.vst","2015-09-25","vst_SCBI_2015","D02","SCBI","SCBI_066",,"NEON.PLA.D02.SCBI.02686",,"small shrub","Live",1.4,10,2.0,,,,2.2,0.7,,"inverted cone",,,4.00,3.00,,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","legacyData"
"96e4e2c0-8c17-43fb-9126-d15581cd60f5","SCBI_066.basePlot.vst","2015-09-25","vst_SCBI_2015","D02","SCBI","SCBI_066",,"NEON.PLA.D02.SCBI.02667",,"small tree","Live",1.4,130,2.9,,,,,,,,,,,,,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","legacyData"
"80370dfe-927e-42c3-a121-6af77744ece7","SCBI_066.basePlot.vst","2015-09-25","vst_SCBI_2015","D02","SCBI","SCBI_066",,"NEON.PLA.D02.SCBI.02642",,"single bole tree","Live",34.7,130,18.2,,,,,,,,,,,,,"otzZ09yzQEzFIIPcpdl9PUakADElVpVu","TvKK6huzmJvQSYcm7w44HKEZTya+DeuysFTWAgNPmiU=","legacyData"
"2dceb00e-ce3e-4e52-98fb-6f4dea904ef7","SCBI_066.basePlot.vst","2015-09-25","vst_SCBI_2015","D02","SCBI","SCBI_066",,"NEON.PLA.D02.SCBI.02694",,"small tree","Live",1.1,130,2.0,,,,,,,,,,,,,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","legacyData"
