"Modnames_all_years","dAIC_all_years","Modnames_1966","dAIC_1966","Modnames_1977","dAIC_1977","Modnames_1999","dAIC_1999"
"resist.value ~ height_ln+position+elev_m+tlp+rp+year+(1|sp/tree)",0,"resist.value ~ dbh_ln+distance_ln+tlp+rp+(1|sp)",0,"resist.value ~ height_ln+position+elev_m+tlp+rp+(1|sp)",0,"resist.value ~ dbh_ln+height_ln+position+distance_ln+rp+(1|sp)",0
"resist.value ~ height_ln+position+tlp+rp+year+(1|sp/tree)",1.12560035002127,"resist.value ~ height_ln+distance_ln+tlp+rp+(1|sp)",0.275848530260902,"resist.value ~ dbh_ln+position+elev_m+tlp+rp+(1|sp)",0.196563501242593,"resist.value ~ dbh_ln+height_ln+position+distance_ln+tlp+rp+(1|sp)",0.500683309204621
"resist.value ~ dbh_ln+height_ln+position+elev_m+tlp+rp+year+(1|sp/tree)",1.38722766912815,"resist.value ~ dbh_ln+height_ln+distance_ln+tlp+rp+(1|sp)",1.70109264900362,"resist.value ~ height_ln+elev_m+tlp+rp+(1|sp)",0.828350584301717,"resist.value ~ dbh_ln+height_ln+position+elev_m+rp+(1|sp)",0.906804057432375
"resist.value ~ height_ln+position+distance_ln+tlp+rp+year+(1|sp/tree)",1.52719131454063,"resist.value ~ dbh_ln+position+distance_ln+tlp+rp+(1|sp)",1.71368651414662,"resist.value ~ elev_m+tlp+rp+(1|sp)",1.12085514930222,"resist.value ~ dbh_ln+height_ln+position+elev_m+tlp+rp+(1|sp)",1.39582066938629
"resist.value ~ height_ln+position+elev_m+distance_ln+tlp+rp+year+(1|sp/tree)",2.02556808419183,"resist.value ~ dbh_ln+elev_m+distance_ln+tlp+rp+(1|sp)",2.02946098174657,"resist.value ~ dbh_ln+elev_m+tlp+rp+(1|sp)",1.20561392420635,"resist.value ~ dbh_ln+height_ln+position+rp+(1|sp)",1.62670887938134
"resist.value ~ dbh_ln+height_ln+position+tlp+rp+year+(1|sp/tree)",2.75549471103596,"resist.value ~ height_ln+position+distance_ln+tlp+rp+(1|sp)",2.23263709430146,"resist.value ~ dbh_ln+height_ln+position+elev_m+tlp+rp+(1|sp)",1.78941310329739,"resist.value ~ dbh_ln+height_ln+position+tlp+rp+(1|sp)",1.7860466209301
"resist.value ~ dbh_ln+position+elev_m+tlp+rp+year+(1|sp/tree)",3.08401105605799,"resist.value ~ height_ln+elev_m+distance_ln+tlp+rp+(1|sp)",2.33954151740307,"resist.value ~ height_ln+position+elev_m+distance_ln+tlp+rp+(1|sp)",2.03534922606856,"resist.value ~ dbh_ln+height_ln+position+elev_m+distance_ln+rp+(1|sp)",1.91712560620618
"resist.value ~ dbh_ln+height_ln+position+elev_m+distance_ln+tlp+rp+year+(1|sp/tree)",3.4138646793098,"resist.value ~ height_ln+elev_m+tlp+rp+(1|sp)",2.71687995927917,"resist.value ~ dbh_ln+position+elev_m+distance_ln+tlp+rp+(1|sp)",2.233848512853,"resist.value ~ dbh_ln+height_ln+position+elev_m+distance_ln+tlp+rp+(1|sp)",2.4622759215995
"resist.value ~ dbh_ln+height_ln+position+distance_ln+tlp+rp+year+(1|sp/tree)",3.68641759716198,"resist.value ~ dbh_ln+elev_m+tlp+rp+(1|sp)",2.85024429342602,"resist.value ~ height_ln+elev_m+distance_ln+tlp+rp+(1|sp)",2.87711588465712,"resist.value ~ height_ln+position+distance_ln+rp+(1|sp)",3.09238929862135
"resist.value ~ dbh_ln+position+tlp+rp+year+(1|sp/tree)",4.12385596314212,"resist.value ~ height_ln+tlp+rp+(1|sp)",3.43719658383096,"resist.value ~ position+elev_m+tlp+rp+(1|sp)",2.88435458784157,"resist.value ~ height_ln+position+elev_m+rp+(1|sp)",4.15103671902829
"resist.value ~ dbh_ln+height_ln+position+elev_m+distance_ln+tlp+rp+year+(1|sp/tree)",3.4138646793098,"resist.value ~ dbh_ln+height_ln+position+elev_m+distance_ln+tlp+rp+(1|sp)",5.5588936992354,"resist.value ~ dbh_ln+height_ln+position+elev_m+distance_ln+tlp+rp+(1|sp)",3.79221492487034,"resist.value ~ dbh_ln+height_ln+position+elev_m+distance_ln+tlp+rp+(1|sp)",2.4622759215995
