"prediction","variable","variable_description","top_model"
1.1,"year","drought.year","all"
2.2,"height.ln.m","ln[height]","all"
2.2,"height.ln.m","ln[height]","1966"
3.3,"position_all","crown.position","1999"
3.4,"TWI.ln","topographic.wetness.index","all"
3.4,"TWI.ln","topographic.wetness.index","1977"
3.4,"TWI.ln","topographic.wetness.index","1999"
4.1,"rp","ring.porosity","1999"
4.2,"PLA_dry_percent","percent.leaf.area","all"
4.2,"PLA_dry_percent","percent.leaf.area","1966"
4.4,"mean_TLP_Mpa","mean.turgor.loss.point","all"
