drought,$\Delta$AICc,$R^2$,Intercept,$ln[H]$,$ln[TWI]$,$ln[H]*ln[TWI]$,D,C,I,S,$PLA$,$\pi_{tlp}$
all,0,0.12,1.131,-0.057,-0.086,-,-,-,-,-,-0.012,-0.113
,0.583,0.11,1.423,-0.055,-0.086,-,-,-,-,-,-0.013,-
,0.726,0.12,1.537,-0.202,-0.326,0.082,-,-,-,-,-0.012,-0.114
,1.352,0.11,1.826,-0.198,-0.324,0.081,-,-,-,-,-0.013,-
1966,0,0.25,1.622,-0.135,-,-,-,-,-,-,-0.025,-
1977,0,0.23,0.46,-,-0.134,-,-0.068,0,-0.025,0.047,-,-0.253
,0.036,0.22,0.503,-,-0.144,-,-,-,-,-,-,-0.24
,0.944,0.21,1.069,-,-0.144,-,-,-,-,-,-,-
,1.024,0.22,0.568,-0.03,-0.139,-,-,-,-,-,-,-0.246
,1.116,0.25,0.646,-,-0.132,-,-0.069,0,-0.025,0.046,-0.007,-0.217
,1.18,0.24,0.684,-,-0.142,-,-,-,-,-,-0.007,-0.204
,1.23,0.22,1.059,-,-0.134,-,-0.069,0,-0.027,0.041,-,-
,1.303,0.22,1.211,-,-0.141,-,-,-,-,-,-0.01,-
,1.508,0.23,1.206,-,-0.132,-,-0.07,0,-0.027,0.041,-0.01,-
1999,0,0.19,1.086,-,-0.099,-,-0.006,0,-0.055,-0.048,-,-
,0.141,0.18,1.061,-,-0.102,-,-,-,-,-,-,-
,0.164,0.19,0.659,-,-0.101,-,-,-,-,-,-,-0.169
,0.505,0.21,0.729,-,-0.098,-,-0.005,0,-0.053,-0.046,-,-0.15
,0.904,0.2,1.186,-,-0.097,-,-0.006,0,-0.055,-0.049,-0.007,-
,1.095,0.19,1.157,-,-0.1,-,-,-,-,-,-0.007,-
,1.655,0.21,0.783,-,-0.1,-,-,-,-,-,-0.005,-0.145
