Species,sp,Equations,$R^2$
Carya cordiformis,caco,$ln[r_{bark}]=-1.56+0.416*ln[DBH]$,0.226
Carya glabra,cagl,$ln[r_{bark}]=-0.393+0.268*ln[DBH]$,0.04
Carya ovalis,caovl,$ln[r_{bark}]=-2.18+0.651*ln[DBH]$,0.389
Carya tomentosa,cato,$ln[r_{bark}]=-0.477+0.301*ln[DBH]$,0.297
Fagus grandifolia,fagr,-,-
Fraxinus americana,fram,$ln[r_{bark}]=0.418+0.268*ln[DBH]$,0.256
Juglans nigra,juni,$ln[r_{bark}]=0.346+0.279*ln[DBH]$,0.246
Liriodendron tulipifera,litu,$ln[r_{bark}]=-1.14+0.463*ln[DBH]$,0.545
Quercus alba,qual,$ln[r_{bark}]=-2.09+0.637*ln[DBH]$,0.603
Quercus prinus,qupr,$ln[r_{bark}]=-1.31+0.528*ln[DBH]$,0.577
Quercus rubra,quru,$ln[r_{bark}]=-0.593+0.292*ln[DBH]$,0.087
