drought,dAICc,$R^2$,Intercept,$ln[H]$,$ln[TWI]$,$ln[H]*ln[TWI]$,D,C,I,S,$PLA$,$\pi_{tlp}$,
all,0,0.09,1.125,-0.307,-0.506,0.14,-,-,-,-,-0.012,-,
,0.425,0.1,0.879,-0.31,-0.508,0.14,-,-,-,-,-0.011,-0.096,
,1.208,0.09,0.424,-0.06,-0.1,-,-,-,-,-,-0.012,-,
,1.695,0.1,0.178,-0.061,-0.1,-,-,-,-,-,-0.011,-0.095,
1966,0,0.23,1.66,-0.154,-,-,-,-,-,-,-0.024,-,-
,1.393,0.23,1.735,-0.152,-0.047,-,-,-,-,-,-0.024,-,
,1.457,0.23,1.859,-0.152,-,-,-,-,-,-,-0.025,0.078,
1977,0,0.16,1.13,-,-0.18,-,-,-,-,-,-,-,
,0.424,0.16,2.453,-0.461,-0.896,0.25,-,-,-,-,-,-,
,0.688,0.17,0.72,-,-0.179,-,-,-,-,-,-,-0.173,
,0.922,0.17,2.04,-0.466,-0.898,0.251,-,-,-,-,-,-0.18,
,0.927,0.17,1.248,-,-0.177,-,-,-,-,-,-0.008,-,
,1.082,0.16,1.108,-,-0.172,-,-0.06,0,-0.003,0.072,-,-,
,1.269,0.17,0.634,-,-0.171,-,-0.059,0,-0.001,0.077,-,-0.199,
,1.322,0.17,2.569,-0.461,-0.893,0.25,-,-,-,-,-0.008,-,
,1.47,0.17,2.205,-0.383,-0.87,0.24,-0.07,0,0.014,0.098,-,-,
,1.709,0.15,1.183,-0.02,-0.177,-,-,-,-,-,-,-,
,1.752,0.18,1.731,-0.384,-0.87,0.241,-0.069,0,0.016,0.103,-,-0.201,
,1.932,0.17,1.229,-,-0.169,-,-0.061,0,-0.003,0.072,-0.009,-,
1999,0,0.2,0.563,-,-0.076,-,-,-,-,-,-,-0.2,
,0.064,0.19,0.421,-,-,-,-,-,-,-,-,-0.202,
,0.127,0.18,1.036,-,-0.077,-,-,-,-,-,-,-,
,0.256,0.18,-,-,-,-,-,-,-,-,-,-,
,1.777,0.2,0.529,0.016,-0.078,-,-,-,-,-,-,-0.195,
,1.797,0.2,1.101,-,-0.076,-,-,-,-,-,-0.004,-,
,1.815,0.18,0.986,0.018,-0.079,-,-,-,-,-,-,-,
,1.838,0.2,0.972,-,-,-,-,-,-,-,-0.005,-,
,1.933,0.19,0.391,0.012,-,-,-,-,-,-,-,-0.199,
,1.979,0.21,0.612,-,-0.075,-,-,-,-,-,-0.002,-0.19,
,1.999,0.21,0.482,-,-,-,-,-,-,-,-0.002,-0.19,
