variable,category,null model variables,dAICc,coefficients,dAICc,coefficients,dAICc,coefficients,dAICc,coefficients
ln[DBH],,(year),8.17**,-0.0385,15.32**,-0.0888,-0.87,-0.0214,-1.93,0.0057
ln[H],,(year),8.17**,-0.06,15.32**,-0.1383,-0.87,-0.0334,-1.93,0.0089
crown position,D,(year),-2.96,-0.0461,3.25**,-0.0509,0.66,-0.0759,0.38,-0.0103
     (alone),C,,-,0,-,0,-,0,-,0
,I,,-,-0.0063,-,0.0732,-,-0.0298,-,-0.0563
,S,,-,0.0122,-,0.0526,-,0.0432,-,-0.0483
crown position ,D,ln[H] (+year),0.57,-0.0347,-1.84,-0.0328,-0.23,-0.073,3.04**,-0.0024
     (with height),C,,-,0,-,0,-,0,-,0
,I,,-,-0.0425,-,0.0139,-,-0.0388,-,-0.081
,S,,-,-0.0582,-,-0.0662,-,0.0258,-,-0.0956
ln[TWI],,ln[H] (+year),5.34**,-0.089,-1.96,-0.0171,5.05**,-0.1404,2.8**,-0.1033
ln[TWI]*ln[H],,ln[H]+ln[TWI] (+year),-0.83,0.0797,-1.58,0.0927,-1.47,0.0861,-1.9,0.0414
wood density,,ln[H] (+year),-1.91,-0.0479,-1.24,-0.2089,-1.22,-0.1812,0.22,0.2502
leaf mass per area,,ln[H] (+year),-1.99,0.0003,-1.88,0.0012,-1.76,-0.0013,-2,0.0004
xylem porosity,R,ln[H] (+year),-0.71,0.066,2.305**,0.1888,1.399*,-0.1452,3.765**,0.1544
,D/SR,,-,0,-,0,-,0,-,0
turgor loss point,,ln[H] (+year),1.33*,-0.1777,-1.64,-0.1078,1.26*,-0.25,0.016,-0.1732
percent loss area,,ln[H] (+year),7.17**,-0.014,9.18**,-0.0249,-0.05,-0.0105,-0.716,-0.0074
