"prediction","variable","variable_description","null_model","tested_model","null_model_year","tested_model_year","dAIC_all","coef_all","coef_var_all","dAIC_1964.1966","coef_1964.1966","coef_var_1964.1966","dAIC_1977","coef_1977","coef_var_1977","dAIC_1999","coef_1999","coef_var_1999"
3.1,"year","drought.year","resist.value ~ (1|sp/tree)","resist.value ~ (1|sp/tree)+year","resist.value ~ (1|sp)","resist.value ~ (1|sp)",-2.418,"-","year1977 (-0.0209), year1999 (-0.0105)",0,"+","",0,"+","",0,"+",""
2.1,"dbh.ln.cm","ln[DBH]","resist.value ~ year+(1|sp/tree)","resist.value ~ year+(1|sp/tree)+dbh.ln.cm","resist.value ~ (1|sp)","resist.value ~ (1|sp)+dbh.ln.cm",8.17,"-","dbh.ln.cm (-0.0385)",15.32,"-","dbh.ln.cm (-0.0888)",-0.866,"-","dbh.ln.cm (-0.0214)",-1.926,"+","dbh.ln.cm (0.0057)"
2.2,"height.ln.m","ln[height]","resist.value ~ year+(1|sp/tree)","resist.value ~ year+(1|sp/tree)+height.ln.m","resist.value ~ (1|sp)","resist.value ~ (1|sp)+height.ln.m",8.8,"-","height.ln.m (-0.0648)",15.271,"-","height.ln.m (-0.1443)",-0.977,"-","height.ln.m (-0.0335)",-2.025,"+","height.ln.m (0.0018)"
2.3,"position_all","crown.position alone","resist.value ~ year+(1|sp/tree)","resist.value ~ year+(1|sp/tree)+position_all","resist.value ~ (1|sp)","resist.value ~ (1|sp)+position_all",-2.962,"-","position_alldominant (-0.0461), position_allintermediate (-0.0063), position_allsuppressed (0.0122)",3.254,"-","position_alldominant (-0.0509), position_allintermediate (0.0732), position_allsuppressed (0.0526)",0.657,"-","position_alldominant (-0.0759), position_allintermediate (-0.0298), position_allsuppressed (0.0432)",0.382,"-","position_alldominant (-0.0103), position_allintermediate (-0.0563), position_allsuppressed (-0.0483)"
1.2,"position_all","crown.position w/height","resist.value ~ height.ln.m+year+(1|sp/tree)","resist.value ~ height.ln.m+year+(1|sp/tree)+position_all","resist.value ~ height.ln.m+(1|sp)","resist.value ~ height.ln.m+(1|sp)+position_all",0.55,"-","position_alldominant (-0.0364), position_allintermediate (-0.0406), position_allsuppressed (-0.0586)",-1.413,"-","position_alldominant (-0.0359), position_allintermediate (0.0177), position_allsuppressed (-0.0654)",-0.239,"-","position_alldominant (-0.074), position_allintermediate (-0.0363), position_allsuppressed (0.03)",3.986,"-","position_alldominant (-0.0027), position_allintermediate (-0.0823), position_allsuppressed (-0.1011)"
1.3,"height.ln.m*TWI.ln","ln[height]*ln[topographic.wetness.index]","resist.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)","resist.value~height.ln.m*TWI.ln+year+(1|sp/tree)","resist.value ~ height.ln.m+TWI.ln+(1|sp)","resist.value~height.ln.m*TWI.ln+(1|sp)",-1.182,"+","height.ln.m:TWI.ln (0.0677)",-1.75,"+","height.ln.m:TWI.ln (0.0749)",-1.826,"+","height.ln.m:TWI.ln (0.0533)",-1.793,"+","height.ln.m:TWI.ln (0.0566)"
2.4,"TWI.ln","ln[topographic.wetness.index]","resist.value ~ height.ln.m+year+(1|sp/tree)","resist.value ~ height.ln.m+year+(1|sp/tree)+TWI.ln","resist.value ~ height.ln.m+(1|sp)","resist.value ~ height.ln.m+(1|sp)+TWI.ln",5.332,"-","TWI.ln (-0.0886)",-1.963,"-","TWI.ln (-0.0168)",5.064,"-","TWI.ln (-0.1406)",2.72,"-","TWI.ln (-0.1025)"
3.1,"rp","ring.porosity","resist.value ~ height.ln.m+year+(1|sp/tree)","resist.value ~ height.ln.m+year+(1|sp/tree)+rp","resist.value ~ height.ln.m+(1|sp)","resist.value ~ height.ln.m+(1|sp)+rp",-2.4,"-","rpring (0.0574), rpsemi-ring (-0.0335)",1.777,"-","rpring (0.151), rpsemi-ring (-0.1324)",0.585,"-","rpring (-0.1879), rpsemi-ring (-0.1426)",4.246,"+","rpring (0.2025), rpsemi-ring (0.1516)"
3.2,"PLA_dry_percent","percent.loss.area","resist.value ~ height.ln.m+year+(1|sp/tree)","resist.value ~ height.ln.m+year+(1|sp/tree)+PLA_dry_percent","resist.value ~ height.ln.m+(1|sp)","resist.value ~ height.ln.m+(1|sp)+PLA_dry_percent",7.888,"-","PLA_dry_percent (-0.0138)",9.82,"-","PLA_dry_percent (-0.0244)",-0.069,"-","PLA_dry_percent (-0.0104)",-0.725,"-","PLA_dry_percent (-0.0074)"
3.3,"LMA_g_per_m2","leaf.mass.area","resist.value ~ height.ln.m+year+(1|sp/tree)","resist.value ~ height.ln.m+year+(1|sp/tree)+LMA_g_per_m2","resist.value ~ height.ln.m+(1|sp)","resist.value ~ height.ln.m+(1|sp)+LMA_g_per_m2",-1.996,"+","LMA_g_per_m2 (3e-04)",-1.891,"+","LMA_g_per_m2 (0.0011)",-1.739,"-","LMA_g_per_m2 (-0.0014)",-1.991,"+","LMA_g_per_m2 (5e-04)"
3.4,"mean_TLP_Mpa","mean.turgor.loss.point","resist.value ~ height.ln.m+year+(1|sp/tree)","resist.value ~ height.ln.m+year+(1|sp/tree)+mean_TLP_Mpa","resist.value ~ height.ln.m+(1|sp)","resist.value ~ height.ln.m+(1|sp)+mean_TLP_Mpa",1.215,"-","mean_TLP_Mpa (-0.1675)",-1.776,"-","mean_TLP_Mpa (-0.0845)",1.144,"-","mean_TLP_Mpa (-0.2432)",0.055,"-","mean_TLP_Mpa (-0.1749)"
