"rank","dAICc","r^2","Intercept","ln[H]","D","C","I","S","ln[TWI]","PLA"
"All years Model #2",0.338,0.1,1.494,-0.097,-0.036,0,-0.038,-0.056,-0.078,-0.013
"All years Model #4",0.515,0.12,1.393,-0.064,NA,NA,NA,NA,-0.087,-0.017
"All years Model #5",0.571,0.1,1.375,-0.061,NA,NA,NA,NA,-0.085,-0.013
"All years Model #1",0,0.11,1.108,-0.062,NA,NA,NA,NA,-0.085,-0.012
"All years Model #3",0.403,0.12,1.263,-0.096,-0.035,0,-0.036,-0.053,-0.078,-0.012
"All years Model #6",0.903,0.12,1.492,-0.098,-0.034,0,-0.036,-0.053,-0.079,-0.016
"1966 Model #4",1.434,0.24,1.629,-0.143,NA,NA,NA,NA,NA,-0.024
"1966 Model #2",0.537,0.26,1.537,-0.154,NA,NA,NA,NA,NA,-0.023
"1966 Model #1",0,0.26,2.271,-0.153,NA,NA,NA,NA,NA,-0.035
"1966 Model #3",1.093,0.27,2.389,-0.177,-0.038,0,0.016,-0.068,NA,-0.035
"1977 Model #4",1.914,0.22,0.367,-0.006,-0.073,0,-0.029,0.037,-0.13,NA
"1977 Model #1",0,0.22,0.346,NA,-0.074,0,-0.027,0.042,-0.131,NA
"1977 Model #2",0.09,0.21,0.393,NA,NA,NA,NA,NA,-0.14,NA
"1977 Model #3",1.116,0.21,0.46,-0.026,NA,NA,NA,NA,-0.137,NA
"1966 Model #5",1.982,0.26,2.307,-0.152,NA,NA,NA,NA,-0.016,-0.035
