"rank","dAICc","r^2","Intercept","ln[H]","D","C","I","S","ln[TWI]","PLA"
"All years Model #1",0,0.1,1.494,-0.097,-0.036,0,-0.038,-0.056,-0.078,-0.013
"All years Model #2",0.178,0.12,1.393,-0.064,NA,NA,NA,NA,-0.087,-0.017
"All years Model #3",0.233,0.1,1.375,-0.061,NA,NA,NA,NA,-0.085,-0.013
"All years Model #4",0.565,0.12,1.492,-0.098,-0.034,0,-0.036,-0.053,-0.079,-0.016
"1966 Model #1",0,0.26,1.537,-0.154,NA,NA,NA,NA,NA,-0.023
"1966 Model #2",0.897,0.24,1.629,-0.143,NA,NA,NA,NA,NA,-0.024
"1966 Model #3",1.576,0.27,1.593,-0.175,-0.041,0,0.016,-0.065,NA,-0.022
"1977 Model #1",0,0.22,1.502,NA,NA,NA,NA,NA,-0.145,-0.019
"1977 Model #2",0.795,0.23,1.493,NA,-0.069,0,-0.026,0.04,-0.136,-0.019
"1977 Model #3",1.525,0.21,1.549,-0.02,NA,NA,NA,NA,-0.143,-0.019
"1999 Model #1",0,0.25,1.284,-0.081,0.003,0,-0.077,-0.095,-0.087,-0.008
"1999 Model #2",0.462,0.23,1.174,-0.083,0.002,0,-0.079,-0.099,-0.088,NA
"1999 Model #3",0.956,0.24,1.042,NA,NA,NA,NA,NA,-0.1,-0.01
"1999 Model #4",1.193,0.24,1.159,-0.089,0,0,-0.081,-0.101,NA,-0.008
"1999 Model #5",1.851,0.22,1.045,-0.092,-0.001,0,-0.084,-0.105,NA,NA
