"year","tree","resist.value","sp","rp","PLA_dry_percent","LMA_g_per_m2","mean_TLP_Mpa","WD_g_per_cm3","elev.m","dbh.ln.cm","height.ln.m","position_all","TWI","TWI.ln"
"1966","132018",0.66,"caco","ring",17.2184357420595,45.8645424527914,-2.13241333333333,0.832722147,293,3.47054446893489,3.10120811520856,"co-dominant",9.44537694949331,2.24552541010874
"1977","132018",0.66,"caco","ring",17.2184357420595,45.8645424527914,-2.13241333333333,0.832722147,293,3.52251223189217,3.13348009600504,"co-dominant",9.44537694949331,2.24552541010874
"1999","132018",0.92,"caco","ring",17.2184357420595,45.8645424527914,-2.13241333333333,0.832722147,293,3.61225450596679,3.18921004820538,"co-dominant",9.44537694949331,2.24552541010874
"1966","50488",1.48,"caco","ring",17.2184357420595,45.8645424527914,-2.13241333333333,0.832722147,287,3.44333078623675,3.08430841825302,"co-dominant",9.27384068954015,2.22719760763972
"1977","50488",0.39,"caco","ring",17.2184357420595,45.8645424527914,-2.13241333333333,0.832722147,287,3.48545084131145,3.11046497245441,"co-dominant",9.27384068954015,2.22719760763972
"1999","50488",0.9,"caco","ring",17.2184357420595,45.8645424527914,-2.13241333333333,0.832722147,287,3.52455932677987,3.1347513419303,"co-dominant",9.27384068954015,2.22719760763972
"1966","60059",0.79,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,304,3.80210454068679,3.3071069197665,"dominant",5.18468136560841,1.64570838668004
"1977","60059",0.72,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,304,3.84739669490248,3.33523334753444,"dominant",5.18468136560841,1.64570838668004
"1999","60059",0.78,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,304,3.92592414083285,3.3839988914572,"dominant",5.18468136560841,1.64570838668004
"1966","80625",0.79,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,295,3.51869144072089,3.13110738468767,"co-dominant",6.89303965795485,1.9305121572534
"1977","80625",0.52,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,295,3.56035053899284,3.15697768471456,"co-dominant",6.89303965795485,1.9305121572534
"1999","80625",0.74,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,295,3.61049594709558,3.18811798314636,"co-dominant",6.89303965795485,1.9305121572534
"1966","121105",0.86,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,317,3.7076990092373,3.24848108473637,"co-dominant",5.52904979068728,1.71001597268462
