"year","tree","resist.value","sp","rp","PLA_dry_percent","LMA_g_per_m2","mean_TLP_Mpa","WD_g_per_cm3","elev.m","dbh.ln.cm","height.ln.m","position_all","TWI","TWI.ln"
"1966","132018",-451.65,"caco","ring",17.2184357420595,45.8645424527914,-2.13241333333333,0.832722147,293,3.47054446893489,3.0670895490562,"co-dominant",9.44537694949331,2.24552541010874
"1977","132018",-345.15,"caco","ring",17.2184357420595,45.8645424527914,-2.13241333333333,0.832722147,293,3.52251223189217,3.10045285287477,"co-dominant",9.44537694949331,2.24552541010874
"1999","132018",-268.65,"caco","ring",17.2184357420595,45.8645424527914,-2.13241333333333,0.832722147,293,3.61225450596679,3.15806739283068,"co-dominant",9.44537694949331,2.24552541010874
"1966","50488",-193.62,"caco","ring",17.2184357420595,45.8645424527914,-2.13241333333333,0.832722147,287,3.44333078623675,3.04961836476399,"co-dominant",9.27384068954015,2.22719760763972
"1977","50488",-382.25,"caco","ring",17.2184357420595,45.8645424527914,-2.13241333333333,0.832722147,287,3.48545084131145,3.07665944012195,"co-dominant",9.27384068954015,2.22719760763972
"1999","50488",-227.21,"caco","ring",17.2184357420595,45.8645424527914,-2.13241333333333,0.832722147,287,3.52455932677987,3.10176708779268,"co-dominant",9.27384068954015,2.22719760763972
"1966","60059",-35.92,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,304,3.80210454068679,3.27995111512092,"dominant",5.18468136560841,1.64570838668004
"1977","60059",-307.64,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,304,3.84739669490248,3.3090286781274,"dominant",5.18468136560841,1.64570838668004
"1999","60059",-451.6,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,304,3.92592414083285,3.35944329841469,"dominant",5.18468136560841,1.64570838668004
"1966","80625",-116.41,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,295,3.51869144072089,3.09799990494281,"co-dominant",6.89303965795485,1.9305121572534
"1977","80625",-324.12,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,295,3.56035053899284,3.12474504603341,"co-dominant",6.89303965795485,1.9305121572534
"1999","80625",1.16,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,295,3.61049594709558,3.15693839803536,"co-dominant",6.89303965795485,1.9305121572534
