variable,category,null variables,dAICc,coefficients,dAICc,coefficients,dAICc,coefficients,dAICc,coefficients
drought year ,1966,,-2.42,0,-,-,-,-,-,-
,1977,,-,-0.0209,-,-,-,-,-,-
,1999,,-,-0.0105,-,-,-,-,-,-
ln[DBH],,Y,8.17,-0.0385,15.32,-0.0888,-0.87,-0.0214,-1.93,0.0057
ln[height],,Y,8.8,-0.0648,15.27,-0.1443,-0.98,-0.0335,-2.03,0.0018
crown position,D,Y,-2.96,-0.0461,3.25,-0.0509,0.66,-0.0759,0.38,-0.0103
     (alone),C,,-,0,-,0,-,0,-,0
,I,,-,-0.0063,-,0.0732,-,-0.0298,-,-0.0563
,S,,-,0.0122,-,0.0526,-,0.0432,-,-0.0483
crown position ,D,ln[H]+Y,0.55,-0.0364,-1.41,-0.0359,-0.24,-0.074,3.99,-0.0027
     (with height),C,,-,0,-,0,-,0,-,0
,I,,-,-0.0406,-,0.0177,-,-0.0363,-,-0.0823
,S,,-,-0.0586,-,-0.0654,-,0.03,-,-0.1011
ln[TWI],,ln[H]+Y,5.33,-0.0886,-1.96,-0.0168,5.06,-0.1406,2.72,-0.1025
ln[TWI]*ln[H],,ln[H]+ln[T]+Y,-1.18,0.0677,-1.75,0.0749,-1.86,0.0533,-1.79,0.0566
wood density,,ln[H]+Y,-1.89,-0.0498,-1.1,-0.2161,-1.19,-0.1827,0.23,0.2512
leaf mass per area,,ln[H]+Y,-2,0.0003,-1.89,0.0011,-1.74,-0.0014,-1.99,0.0005
ring porosity,ring,ln[H]+Y,-2.4,0.0574,1.78,0.151,0.59,-0.1879,4.25,0.2025
,semi-ring,,-,-0.0335,-,-0.1324,-,-0.1426,-,0.1516
,diffuse,,-,0,-,0,-,0,-,0
turgor loss point,,ln[H]+Y,1.22,-0.1675,-1.78,-0.0845,1.14,-0.2432,0.06,-0.1749
percent loss area,,ln[H]+Y,7.89,-0.0138,9.82,-0.0244,-0.07,-0.0104,-0.73,-0.0074
