"prediction","variable","variable_description","top_model"
1.2,"position_all","crown.position w/height","all"
1.3,"height.ln.m*TWI.ln","ln[height]*ln[topographic.wetness.index]","all"
2.2,"height.ln.m","ln[height]","all"
2.2,"height.ln.m","ln[height]","1966"
2.2,"height.ln.m","ln[height]","1977"
2.2,"height.ln.m","ln[height]","1999"
2.3,"position_all","crown.position alone","all"
2.3,"position_all","crown.position alone","1966"
2.3,"position_all","crown.position alone","1977"
2.3,"position_all","crown.position alone","1999"
2.4,"TWI.ln","ln[topographic.wetness.index]","all"
3.1,"year","drought.year","all"
3.1,"rp","ring.porosity","all"
3.1,"rp","ring.porosity","1966"
3.1,"rp","ring.porosity","1999"
3.2,"PLA_dry_percent","percent.loss.area","all"
3.3,"LMA_g_per_m2","leaf.mass.area","all"
3.3,"LMA_g_per_m2","leaf.mass.area","1977"
3.4,"mean_TLP_Mpa","mean.turgor.loss.point","all"
3.4,"mean_TLP_Mpa","mean.turgor.loss.point","1977"
3.5,"WD_g_per_cm3","wood.density","all"
