"rank","dAICc","r^2","Intercept","ln[H]","diffuse","ring","ln[TWI]","ln[H]:ln[TWI]","PLA","WD"
"All years Model #1",0,0.09,2.077,-0.292,NA,NA,-0.477,0.13,-0.013,NA
"All years Model #2",0.616,0.09,1.408,-0.062,NA,NA,-0.098,NA,-0.013,NA
"1966 Model #1",0,0.23,1.647,-0.175,0,0.099,NA,NA,-0.024,NA
"1966 Model #2",0.044,0.22,1.721,-0.174,0,0.112,NA,NA,-0.021,-0.192
"1966 Model #3",0.954,0.23,1.743,-0.166,NA,NA,NA,NA,-0.028,NA
"1977 Model #1",0,0.17,1.549,NA,0,-0.238,-0.179,NA,-0.017,NA
"1977 Model #2",0.504,0.17,2.846,-0.454,0,-0.232,-0.89,0.248,-0.016,NA
"1999 Model #1",0,0.2,0.7,NA,0,0.16,-0.08,NA,NA,0.33
"1999 Model #2",0.348,0.2,0.565,NA,0,0.162,NA,NA,NA,0.315
"1999 Model #3",0.707,0.22,0.763,NA,0,0.136,-0.079,NA,-0.006,0.393
"1999 Model #4",0.952,0.21,0.632,NA,0,0.138,NA,NA,-0.006,0.38
